Partie d'AI 40% contre l'AI 50%,Victoires,Défaites,,,,,,,,,,,,,,
P1(40),644,356,P2(50),,,,,,,,,,,,,
Partie d'AI 40% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(40),694,306,P2(65),,,,,,,,,,,,,
Partie d'AI 40% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(40),813,187,P2(80),,,,,,,,,,,,,
Partie d'AI 41% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(41),623,377,P2(50),,,,,,,,,,,,,
Partie d'AI 41% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(41),704,296,P2(65),,,,,,,,,,,,,
Partie d'AI 41% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(41),809,191,P2(80),,,,,,,,,,,,,
Partie d'AI 42% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(42),655,345,P2(50),,,,,,,,,,,,,
Partie d'AI 42% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(42),664,336,P2(65),,,,,,,,,,,,,
Partie d'AI 42% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(42),795,205,P2(80),,,,,,,,,,,,,
Partie d'AI 43% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(43),656,344,P2(50),,,,,,,,,,,,,
Partie d'AI 43% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(43),686,314,P2(65),,,,,,,,,,,,,
Partie d'AI 43% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(43),806,194,P2(80),,,,,,,,,,,,,
Partie d'AI 44% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(44),623,377,P2(50),,,,,,,,,,,,,
Partie d'AI 44% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(44),697,303,P2(65),,,,,,,,,,,,,
Partie d'AI 44% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(44),807,193,P2(80),,,,,,,,,,,,,
Partie d'AI 45% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(45),651,349,P2(50),,,,,,,,,,,,,
Partie d'AI 45% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(45),710,290,P2(65),,,,,,,,,,,,,
Partie d'AI 45% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(45),844,156,P2(80),,,,,,,,,,,,,
Partie d'AI 46% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(46),638,362,P2(50),,,,,,,,,,,,,
Partie d'AI 46% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(46),694,306,P2(65),,,,,,,,,,,,,
Partie d'AI 46% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(46),842,158,P2(80),,,,,,,,,,,,,
Partie d'AI 47% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(47),630,370,P2(50),,,,,,,,,,,,,
Partie d'AI 47% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(47),669,331,P2(65),,,,,,,,,,,,,
Partie d'AI 47% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(47),843,157,P2(80),,,,,,,,,,,,,
Partie d'AI 48% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(48),633,367,P2(50),,,,,,,,,,,,,
Partie d'AI 48% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(48),696,304,P2(65),,,,,,,,,,,,,
Partie d'AI 48% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(48),835,165,P2(80),,,,,,,,,,,,,
Partie d'AI 49% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(49),633,367,P2(50),,,,,,,,,,,,,
Partie d'AI 49% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(49),697,303,P2(65),,,,,,,,,,,,,
Partie d'AI 49% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(49),838,162,P2(80),,,,,,,,,,,,,
Partie d'AI 51% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(51),673,327,P2(50),,,,,,,,,,,,,
Partie d'AI 51% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(51),693,307,P2(65),,,,,,,,,,,,,
Partie d'AI 51% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(51),845,155,P2(80),,,,,,,,,,,,,
Partie d'AI 52% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(52),636,364,P2(50),,P1(40),644,356,,P1(40),694,306,,P1(40),813,187,P2(80)
Partie d'AI 52% contre l'AI 65%,,,,,P1(41),623,377,,P1(41),704,296,,P1(41),809,191,P2(80)
P1(52),685,315,P2(65),,P1(42),655,345,,P1(42),664,336,,P1(42),795,205,P2(80)
Partie d'AI 52% contre l'AI 80%,,,,,P1(43),656,344,,P1(43),686,314,,P1(43),806,194,P2(80)
P1(52),851,149,P2(80),,P1(44),623,377,,P1(44),697,303,,P1(44),807,193,P2(80)
